Reference number,Species (latin name),Key origin,YEAR PUBLISHED,Sample size (size),Size MIN (kg),Size MAX (kg),Size MEAN (kg),Size error (kg),"UNIT, Size error (kg)",Length MIN (cm),Length MAX (cm),Length MEAN (cm),Size error (cm),"UNIT, Size error (cm)",UNIT,Sex (F/ M/mixed),Temp test mean (deg C),"Salinity (SW, FW, or SW/FW for brackish )",Swim  test,Indiv or group ,ID_fish,Swim speed MIN (BL/s) ,Swim speed MAX BL/s,Swim speed MEAN BL/s,Swim speed SE BL/s,UNIT error,Duration swim or duration of the swim test (h) / W notes,swim speed MIN (cm/s),swim speed MAX (cm/s),swim speed MEAN (cm/s),Swim error (cm/s),"UNIT, error (cm/s)",Water discharge or flow rates (cm/s),Water discharge or flow rates (m^3/s),Water/swim conditions (EXTRINSIC),Fish Condition (INTRINSIC),GSI (% MEAN),Gonad Weight,Blood sample analysis? (y/n),Mortality (y/n),Surgery ,"Recovery: (n, repeat, Metabolism, RR, blood,speed)",Tracking (y/n),"Unit source (text, table, plot) ",Full Reference,N_swim
12,Oncorhynchus nerka,wild,2003,1,,,2.56,0.14,se,,,61.4,1,se,FL,mixed,18.1070552,FW,Ucrit-1,indiv,12_ID95,,,1.542192154,,,,,,,,,,,,,,,n,n,,RR,n,plot,"Lee, C.G., 2003. The effect of temperature on swimming performance and oxygen consumption in adult sockeye (Oncorhynchus nerka) and coho (O. kisutch) salmon stocks. Journal of Experimental Biology 206, 3239–3251. https://doi.org/10.1242/jeb.00547",1
12,Oncorhynchus nerka,wild,2003,1,,,2.56,0.14,se,,,61.4,1,se,FL,mixed,19.09922975,FW,Ucrit-1,indiv,12_ID96,,,1.409355151,,,,,,,,,,,,,,,n,n,,RR,n,plot,"Lee, C.G., 2003. The effect of temperature on swimming performance and oxygen consumption in adult sockeye (Oncorhynchus nerka) and coho (O. kisutch) salmon stocks. Journal of Experimental Biology 206, 3239–3251. https://doi.org/10.1242/jeb.00547",1
12,Oncorhynchus nerka,wild,2003,1,,,2.56,0.14,se,,,61.4,1,se,FL,mixed,18.81201669,FW,Ucrit-1,indiv,12_ID97,,,1.351092143,,,,,,,,,,,,,,,n,n,,RR,n,plot,"Lee, C.G., 2003. The effect of temperature on swimming performance and oxygen consumption in adult sockeye (Oncorhynchus nerka) and coho (O. kisutch) salmon stocks. Journal of Experimental Biology 206, 3239–3251. https://doi.org/10.1242/jeb.00547",1
12,Oncorhynchus nerka,wild,2003,1,,,2.56,0.14,se,,,61.4,1,se,FL,mixed,18.1070552,FW,Ucrit-1,indiv,12_ID98,,,1.281177931,,,,,,,,,,,,,,,n,n,,RR,n,plot,"Lee, C.G., 2003. The effect of temperature on swimming performance and oxygen consumption in adult sockeye (Oncorhynchus nerka) and coho (O. kisutch) salmon stocks. Journal of Experimental Biology 206, 3239–3251. https://doi.org/10.1242/jeb.00547",1
12,Oncorhynchus nerka,wild,2003,1,,,2.56,0.14,se,,,61.4,1,se,FL,mixed,18.1070552,FW,Ucrit-1,indiv,12_ID99,,,1.302152194,,,,,,,,,,,,,,,n,n,,RR,n,plot,"Lee, C.G., 2003. The effect of temperature on swimming performance and oxygen consumption in adult sockeye (Oncorhynchus nerka) and coho (O. kisutch) salmon stocks. Journal of Experimental Biology 206, 3239–3251. https://doi.org/10.1242/jeb.00547",1
12,Oncorhynchus nerka,wild,2003,1,,,2.56,0.14,se,,,61.4,1,se,FL,mixed,17.2976615,FW,Ucrit-1,indiv,12_ID100,,,1.102896691,,,,,,,,,,,,,,,n,n,,RR,n,plot,"Lee, C.G., 2003. The effect of temperature on swimming performance and oxygen consumption in adult sockeye (Oncorhynchus nerka) and coho (O. kisutch) salmon stocks. Journal of Experimental Biology 206, 3239–3251. https://doi.org/10.1242/jeb.00547",1
102,Salmo salar,farm,2021,1,,,0.769639027,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID1,,,3.05683025,,,,,,,,,,,,,,,n,y,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,0.780954557,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID2,,,2.84689962,,,,,,,,,,,,,,,n,y,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,0.805848722,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID3,,,2.82895683,,,,,,,,,,,,,,,n,y,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,0.914477807,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID4,,,2.87919664,,,,,,,,,,,,,,,n,y,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,0.923153424,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID5,,,2.73087079,,,,,,,,,,,,,,,n,y,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,0.938995166,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID6,,,2.60527127,,,,,,,,,,,,,,,n,y,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,0.930319549,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID7,,,2.6028777,,,,,,,,,,,,,,,n,y,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,1.033856646,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID8,,,2.86125385,,,,,,,,,,,,,,,n,y,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,1.072329447,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID9,,,2.78409986,,,,,,,,,,,,,,,n,y,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,1.105427372,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID10,,,2.62440904,,,,,,,,,,,,,,,n,y,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,1.055921929,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID11,,,2.598392,,,,,,,,,,,,,,,n,y,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,1.057619258,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID12,,,2.50329522,,,,,,,,,,,,,,,n,y,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,0.866952583,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID13,,,2.66029462,,,,,,,,,,,,,,,n,y,DSTHRBiologger,HR,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,0.900710202,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID14,,,2.75658639,,,,,,,,,,,,,,,n,y,DSTHRBiologger,HR,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,0.949179142,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID15,,,2.76077424,,,,,,,,,,,,,,,n,y,DSTHRBiologger,HR,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,0.957287851,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID16,,,2.88218591,,,,,,,,,,,,,,,n,y,DSTHRBiologger,HR,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,0.980862626,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID17,,,2.82895683,,,,,,,,,,,,,,,n,y,DSTHRBiologger,HR,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,0.996704367,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID18,,,2.712928,,,,,,,,,,,,,,,n,y,DSTHRBiologger,HR,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,0.967660797,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID19,,,2.59928914,,,,,,,,,,,,,,,n,y,DSTHRBiologger,HR,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,1.037251305,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID20,,,2.7553914,,,,,,,,,,,,,,,n,y,DSTHRBiologger,HR,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,1.123815107,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID21,,,2.44677544,,,,,,,,,,,,,,,n,y,DSTHRBiologger,HR,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,1.149840826,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID22,,,2.48266101,,,,,,,,,,,,,,,n,y,DSTHRBiologger,HR,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,1.155498591,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID23,,,2.54187222,,,,,,,,,,,,,,,n,y,DSTHRBiologger,HR,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,1.192839839,,se,,,,,,,mixed,12,SW,Ucrit-1,indiv,102_ID24,,,2.62261477,,,,,,,,,,,,,,,n,y,DSTHRBiologger,HR,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",1
102,Salmo salar,farm,2021,1,,,1.024,0.031,se,,,42.9,0.4,se,FL,mixed,12,SW,Ucrit-1,group,102_1607,,,,,,,,,114.617416,1.00479616,se,,,,,,,n,y,DSTHRBiologger,HR,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",12
102,Salmo salar,farm,2021,1,,,0.949,0.034,se,,,42.1,0.4,se,FL,mixed,12,SW,Ucrit-1,group,102_1608,,,,,,,,,116.5791367,1.244009421,se,,,,,,,n,y,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. Heart rates of Atlantic salmon Salmo salar during a critical swim speed test and subsequent recovery. Journal of Fish Biology 98, 102–111. https://doi.org/10.1111/jfb.14561",12
104,Salmo salar,farm,2021,1,,,0.584,0.053,se,,,36.5,1,se,FL,mixed,10.5,SW,Ucrit-1,group,104_1609,,,2.14,0.11,se,,,,,,,,,,,,,n,n,,n,n,table,"Riseth, E.N., Fraser, T.W.K., Sambraus, F., Stien, L.H., Hvas, M., 2020. Is it advantageous for Atlantic salmon to be triploid at lower temperatures? Journal of Thermal Biology 89, 102548. https://doi.org/10.1016/j.jtherbio.2020.102548",8
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,34.50007587,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID1,,,,,,,,,108.1871117,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,34.59864896,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID2,,,,,,,,,105.6386879,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,34.89865401,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID3,,,,,,,,,108.8628302,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,35.49866413,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID4,,,,,,,,,103.4184702,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,36.09867425,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID5,,,,,,,,,105.2911756,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,36.3986793,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID6,,,,,,,,,114.1141277,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,36.89154476,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID7,,,,,,,,,114.4037213,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,36.50153818,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID8,,,,,,,,,99.17109722,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,39.28729943,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID9,,,,,,,,,118.7476255,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,38.37871268,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID10,,,,,,,,,114.3071901,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,37.98442032,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID11,,,,,,,,,113.1681219,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,37.77870257,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID12,,,,,,,,,111.5077852,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,38.8844355,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID13,,,,,,,,,110.6390043,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,38.49871471,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID14,,,,,,,,,108.5153178,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,38.99158016,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID15,,,,,,,,,107.3569434,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,38.49442892,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID16,,,,,,,,,106.1020377,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,38.60157358,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID17,,,,,,,,,106.8742873,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,38.63585988,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID18,,,,,,,,,106.1599564,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,37.49155487,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID19,,,,,,,,,101.8546647,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,38.19870965,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID20,,,,,,,,,103.9011262,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,40.59446433,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID21,,,,,,,,,106.2564876,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,40.79161051,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID22,,,,,,,,,107.6079245,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,40.78732472,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID23,,,,,,,,,109.2875675,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,40.59446433,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID24,,,,,,,,,113.013672,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,41.29304753,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID25,,,,,,,,,111.7008476,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,41.39162062,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID26,,,,,,,,,108.6311553,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,41.19447444,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID27,,,,,,,,,105.4456255,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,40.49160545,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID28,,,,,,,,,91.139701,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,36.49296661,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID29,,,,,,,,,90.46398257,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.667,0.023,se,,,41.79448456,,,FL,mixed,12,SW,Ucrit-1,indiv,105_ID30,,,,,,,,,109.3840987,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.656,0.026,se,,,,,,,mixed,12,SW,TTF,indiv,105_ID31,,,2.045546772,,,72.28707455,,,,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.656,0.026,se,,,,,,,mixed,12,SW,TTF,indiv,105_ID32,,,2.144014555,,,67.23086872,,,,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
105,Salmo salar,farm,2021,1,,,0.656,0.026,se,,,,,,,mixed,12,SW,TTF,indiv,105_ID33,,,2.255061922,,,72.28707455,,,,,,,,,,,,n,n,,n,n,plot,"Hvas, M., Folkedal, O., Oppedal, F., 2021. What is the limit of sustained swimming in Atlantic salmon post smolts? Aquacult. Environ. Interact. 13, 189–198. https://doi.org/10.3354/aei00401",1
