Reference number,Species (latin name),Key origin,YEAR PUBLISHED,Sample size (size),Size MIN (kg),Size MAX (kg),Size MEAN (kg),Size error (kg),"UNIT, Size error (kg)",Length MIN (cm),Length MAX (cm),Length MEAN (cm),Size error (cm),"UNIT, Size error (cm)",UNIT,Sex (F/ M/mixed),Temp test mean (deg C),"Salinity (SW, FW, or SW/FW for brackish )",Swim  test,Indiv or group ,ID_fish,Swim speed MIN (BL/s) ,Swim speed MAX BL/s,Swim speed MEAN BL/s,Swim speed SE BL/s,UNIT error,Duration swim or duration of the swim test (h) / W notes,swim speed MIN (cm/s),swim speed MAX (cm/s),swim speed MEAN (cm/s),Swim error (cm/s),"UNIT, error (cm/s)",Water discharge or flow rates (cm/s),Water discharge or flow rates (m^3/s),Water/swim conditions (EXTRINSIC),Fish Condition (INTRINSIC),GSI (% MEAN),Gonad Weight,Blood sample analysis? (y/n),Mortality (y/n),Surgery ,"Recovery: (n, repeat, Metabolism, RR, blood,speed)",Tracking (y/n),"Unit source (text, table, plot) ",Full Reference,N_swim
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,63.2,,,TL,mixed,16,SW,Field,indiv,5_ID-8604,,,0.67,,,0,,,42.4,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,65.8,,,TL,mixed,16,SW,Field,indiv,5_ID-8605,,,0.5,,,0,,,33.2,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,68.4,,,TL,mixed,16,SW,Field,indiv,5_ID-8606,,,0.99,,,0,,,64.4,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,61.7,,,TL,mixed,16,SW,Field,indiv,5_ID-8610,,,0.66,,,0,,,102.6,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,65.8,,,TL,mixed,16,SW,Field,indiv,5_ID-8611,,,0.48,,,0,,,31.9,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,66.9,,,TL,mixed,16,SW,Field,indiv,5_ID-8612,,,1.04,,,0,,,69.8,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,63.7,,,TL,mixed,16,SW,Field,indiv,5_ID-8613,,,0.78,,,0,,,49.5,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,60.6,,,TL,mixed,16,SW,Field,indiv,5_ID-8614,,,0.65,,,0,,,38.5,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,63.7,,,TL,mixed,16,SW,Field,indiv,5_ID-8615,,,1.15,,,0,,,73.3,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,67.9,,,TL,mixed,16,SW,Field,indiv,5_ID-8616,,,0.76,,,0,,,51.9,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
