Reference number,Species (latin name),Key origin,YEAR PUBLISHED,Sample size (size),Size MIN (kg),Size MAX (kg),Size MEAN (kg),Size error (kg),"UNIT, Size error (kg)",Length MIN (cm),Length MAX (cm),Length MEAN (cm),Size error (cm),"UNIT, Size error (cm)",UNIT,Sex (F/ M/mixed),Temp test mean (deg C),"Salinity (SW, FW, or SW/FW for brackish )",Swim  test,Indiv or group ,ID_fish,N_swim,Swim speed MIN (BL/s) ,Swim speed MAX BL/s,Swim speed MEAN BL/s,Swim speed SE BL/s,UNIT error,Duration swim or duration of the swim test (h) ,swim speed MIN (cm/s),swim speed MAX (cm/s),swim speed MEAN (cm/s),Swim error (cm/s),"UNIT, error (cm/s)",Water discharge or flow rates (cm/s),Water discharge or flow rates (m^3/s),Water/swim conditions (EXTRINSIC),Fish Condition (INTRINSIC),GSI (% MEAN),Gonad Weight,Blood sample analysis? (y/n),Mortality (y/n),Surgery ,"Recovery: (n, repeat, Metabolism, RR, blood,speed)",Tracking (y/n),"Unit source (text, table, plot) ",Full Reference,"Sample size (for swim; if n=1, may report ID)",Assigned population
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.061389,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-138,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.061944,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-139,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.030278,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-140,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.067222,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-141,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.040556,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-142,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.055556,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-143,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.051944,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-120,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.033056,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-121,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.016111,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-122,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.045278,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-123,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.026944,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-124,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.036944,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-125,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.023611,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-126,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.032222,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-127,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.037778,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-128,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.052778,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-129,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.028889,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-130,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,#VALUE!,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-131,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.018611,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-132,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.028056,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-133,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.021667,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-134,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.025278,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-135,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.014444,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-136,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.028333,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-137,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.022222,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-138,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.024722,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-139,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.0175,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-140,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.018333,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-141,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,#VALUE!,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-142,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,#VALUE!,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-143,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.033889,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-144,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.041667,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-145,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.061944,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-146,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.069167,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-147,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.054722,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-148,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.0675,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-149,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.042222,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-150,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.017222,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-151,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.039444,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-152,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.034722,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-153,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.038056,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-154,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.061944,NA,NA,201.168,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-155,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.021389,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-156,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.008056,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-157,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.019444,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-158,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.0175,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-159,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.013056,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-160,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.007222,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-161,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.013056,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-162,Columbia River
217,Oncorhynchus nerka,wild,1958,28,0.466142857,1.205,0.835571429,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,FW,TTF-1,indiv,NA,1,NA,NA,NA,NA,NA,0.014167,NA,NA,286.512,NA,NA,NA,NA,NA,na,NA,NA,n,y,NA,repeat-TTF,n,table,"Paulik, Garald., J., and DeLacy, Allan., C. 1958. Changes in the swimming ability of Columbia River sockeye salmon during upstream migration. Technical Report, College of Fisheries University of Washington, Seattle, WA.",Rock Island Dam-1957-163,Columbia River
