Reference number,Species (latin name),Key origin,YEAR PUBLISHED,Sample size (size),Size MIN (kg),Size MAX (kg),Size MEAN (kg),Size error (kg),"UNIT, Size error (kg)",Length MIN (cm),Length MAX (cm),Length MEAN (cm),Size error (cm),"UNIT, Size error (cm)",UNIT,Sex (F/ M/mixed),Temp test mean (deg C),"Salinity (SW, FW, or SW/FW for brackish )",Swim  test,Indiv or group ,ID_fish,N_swim,Swim speed MIN (BL/s) ,Swim speed MAX BL/s,Swim speed MEAN BL/s,Swim speed SE BL/s,UNIT error,Duration swim or duration of the swim test (h) ,swim speed MIN (cm/s),swim speed MAX (cm/s),swim speed MEAN (cm/s),Swim error (cm/s),"UNIT, error (cm/s)",Water discharge or flow rates (cm/s),Water discharge or flow rates (m^3/s),Water/swim conditions (EXTRINSIC),Fish Condition (INTRINSIC),GSI (% MEAN),Gonad Weight,Blood sample analysis? (y/n),Mortality (y/n),Surgery ,"Recovery: (n, repeat, Metabolism, RR, blood,speed)",Tracking (y/n),"Unit source (text, table, plot) ",Full Reference,"Sample size (for swim; if n=1, may report ID)",Assigned population
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,65.8,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8605,1,NA,NA,0.5,NA,NA,NA,NA,NA,33.2,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8605,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,68.4,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8606,1,NA,NA,0.99,NA,NA,NA,NA,NA,64.4,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8606,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,61.7,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8610,1,NA,NA,0.66,NA,NA,NA,NA,NA,102.6,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8610,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,65.8,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8611,1,NA,NA,0.48,NA,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8611,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,66.9,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8612,1,NA,NA,1.04,NA,NA,NA,NA,NA,69.8,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8612,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,63.7,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8613,1,NA,NA,0.78,NA,NA,NA,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8613,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,60.6,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8614,1,NA,NA,0.65,NA,NA,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8614,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,63.7,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8615,1,NA,NA,1.15,NA,NA,NA,NA,NA,73.3,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8615,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,67.9,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8616,1,NA,NA,0.76,NA,NA,NA,NA,NA,51.9,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8616,NA
6,Oncorhynchus gorbuscha,wild,1987,78,NA,NA,1.796,0.481,sd,NA,NA,49.1,3.9,sd,SL,M,15,FW,Ucrit-1,group,6_41,103,NA,NA,2.34,0.84,sd,NA,NA,NA,NA,NA,NA,NA,NA,NA,mature,4.87,88.6,n,n,NA,n,n,table,"Williams, I.V., Brett, J.R., 1987. Critical Swimming Speed of Fraser and Thompson River Pink Salmon ( Oncorhynchus gorbuscha ). Canadian Journal of Fisheries and Aquatic Sciences 44, 348–356. https://doi.org/10.1139/f87-043",103,NA
6,Oncorhynchus gorbuscha,wild,1987,17,NA,NA,1.798,0.35,sd,NA,NA,48.7,2.9,sd,SL,M,15,FW,Ucrit-1,group,6_42,17,NA,NA,3.39,0.96,sd,NA,NA,NA,NA,NA,NA,NA,NA,NA,mature,4.87,88.6,n,n,NA,n,n,table,"Williams, I.V., Brett, J.R., 1987. Critical Swimming Speed of Fraser and Thompson River Pink Salmon ( Oncorhynchus gorbuscha ). Canadian Journal of Fisheries and Aquatic Sciences 44, 348–356. https://doi.org/10.1139/f87-043",17,NA
6,Oncorhynchus gorbuscha,wild,1987,65,NA,NA,1.823,0.437,sd,NA,NA,49,3.5,sd,SL,M,15,FW,Ucrit-1,group,6_43,65,NA,NA,2.34,1.07,sd,NA,NA,NA,NA,NA,NA,NA,NA,NA,mature,4.87,88.6,n,n,NA,n,n,table,"Williams, I.V., Brett, J.R., 1987. Critical Swimming Speed of Fraser and Thompson River Pink Salmon ( Oncorhynchus gorbuscha ). Canadian Journal of Fisheries and Aquatic Sciences 44, 348–356. https://doi.org/10.1139/f87-043",65,NA
